GUIA DE CAPTURA DE PRODUCTOS PARA TIENDA O CATÁLOGO,,,,,,,,,,,,,,,,
CODIGO,CODIGO BARRAS,NOMBRE,DESCRPCIÓN CORTA,DESCRIPCIÓN LARGA,CATEGORÍA,SUBCATEGORÍA,SUB-SUBCATEGORIA,MARCA/FABRICANTE,PESO GRS,DESCUENTO %,INVENTARIO,IMAGEN,PRECIO,PRECIO MAYOREO,COLORES,DESTACADO
58245,078257582457,"SALVAVIDAS 24"" ESTAMPADO","SALVAVIDAS RUEDA INFLABLE 24"" ESTAMPADO BALLENA",DIAMETRO INTERIOR: DIAMETRO EXTERIOR: PESO: EDADES: PIEZAS POR CAJA:,INFLABLES,SALVAVIDAS,SALVAVIDA EN RUEDA,INTEX,300,,,58245.PNG,22.2,18.5,,
58263,078257582631,"SALVAVIDAS 38"" AGARRADERAS","SALVAVIDAS RUEDA INFLABLE 38"" CON AGARRADERAS",DIAMETRO INTERIOR: DIAMETRO EXTERIOR: PESO: EDADES: PIEZAS POR CAJA:,INFLABLES,SALVAVIDAS,SALVAVIDA EN RUEDA,INTEX,400,,,58263.PNG,67.2,56,,
59217,078257592173,"SALVAVIDAS 24"" FIGURA","SALVAVIDAS RUEDA INFLABLE 24"" FIGURA PINGÜINO",DIAMETRO INTERIOR: DIAMETRO EXTERIOR: PESO: EDADES: PIEZAS POR CAJA:,INFLABLES,SALVAVIDAS,SALVAVIDA EN RUEDA,INTEX,300,,,59217.PNG,24,20,,
59222,078257592227,"SALVAVIDAS 24"" FIGURA","SALVAVIDAS RUEDA INFLABLE 24"" FIGURA DE PEZ",DIAMETRO INTERIOR: DIAMETRO EXTERIOR: PESO: EDADES: PIEZAS POR CAJA:,INFLABLES,SALVAVIDAS,SALVAVIDA EN RUEDA,INTEX,300,,,59222.PNG,28.2,23.5,,
59242,,"SALVAVIDAS 24""","SALVAVIDAS RUEDA INFLABLE 24""",DIAMETRO INTERIOR: DIAMETRO EXTERIOR: PESO: EDADES: PIEZAS POR CAJA:,INFLABLES,SALVAVIDAS,SALVAVIDA EN RUEDA,INTEX,300,,,59242.PNG,19.8,16.5,,
59251,078257592517,"SALVAVIDAS 36"" ESTAMPADO","SALVAVIDAS RUEDA INFLABLE 36"" ESTAMPADO HAWAIANO",DIAMETRO INTERIOR: DIAMETRO EXTERIOR: PESO: EDADES: PIEZAS POR CAJA:,INFLABLES,SALVAVIDAS,SALVAVIDA EN RUEDA,INTEX,350,,,59251.PNG,42,35,,
59252,,"SALVAVIDAS 36"" ESTAMPADO","SALVAVIDAS RUEDA INFLABLE 36"" ESTAMPADO LLANTA",DIAMETRO INTERIOR: DIAMETRO EXTERIOR: PESO: EDADES: PIEZAS POR CAJA:,INFLABLES,SALVAVIDAS,SALVAVIDA EN RUEDA,INTEX,350,,,59252.PNG,40.2,33.5,,
59258,078257592586,"SALVAVIDAS 30"" AGARRADERAS","SALVAVIDAS RUEDA INFLABLE 30"" CON AGARRADERAS",DIAMETRO INTERIOR: DIAMETRO EXTERIOR: PESO: EDADES: PIEZAS POR CAJA:,INFLABLES,SALVAVIDAS,SALVAVIDA EN RUEDA,INTEX,50,,,59258.PNG,36,30,,
59260,078257592609,"SALVAVIDAS 30""","SALVAVIDAS RUEDA INFLABLE 30""",DIAMETRO INTERIOR: DIAMETRO EXTERIOR: PESO: EDADES: PIEZAS POR CAJA:,INFLABLES,SALVAVIDAS,SALVAVIDA EN RUEDA,INTEX,350,,,59260.PNG,24.6,20.5,,
J021,58750421,"SALVAVIDAS 30""","SALVAVIDAS RUEDA INFLABLE 30"" ESTAMPADO BOLAS",DIAMETRO INTERIOR: DIAMETRO EXTERIOR: PESO: EDADES: PIEZAS POR CAJA:,INFLABLES,SALVAVIDAS,SALVAVIDA EN RUEDA,SUNRISE,350,,,J021.PNG,30,25,,
J022,58750322,"SALVAVIDAS 36"" ESTAMPADO","SALVAVIDAS RUEDA INFLABLE 36"" ESTAMPADO BOLAS",DIAMETRO INTERIOR: DIAMETRO EXTERIOR: PESO: EDADES: PIEZAS POR CAJA:,INFLABLES,SALVAVIDAS,SALVAVIDA EN RUEDA,SUNRISE,400,,,J022.PNG,43.2,36,,
S001,58752005,"SALVAVIDAS 16""","SALVAVIDAS RUEDA INFLABLE """,DIAMETRO INTERIOR: DIAMETRO EXTERIOR: PESO: EDADES: PIEZAS POR CAJA:,INFLABLES,SALVAVIDAS,SALVAVIDA EN RUEDA,SUNRISE,200,,,S001.PNG,13.2,11,,
S002,58747001,"SALVAVIDAS 20""","SALVAVIDAS RUEDA INFLABLE """,DIAMETRO INTERIOR: DIAMETRO EXTERIOR: PESO: EDADES: PIEZAS POR CAJA:,INFLABLES,SALVAVIDAS,SALVAVIDA EN RUEDA,SUNRISE,250,,,S002.PNG,15.6,13,,
S003,58753002,"SALVAVIDAS 24""","SALVAVIDAS RUEDA INFLABLE """,DIAMETRO INTERIOR: DIAMETRO EXTERIOR: PESO: EDADES: PIEZAS POR CAJA:,INFLABLES,SALVAVIDAS,SALVAVIDA EN RUEDA,SUNRISE,300,,,S003.PNG,20.4,17,,
HYBU-120R,,"SOMBRILLA PLAYA 48""","SOMBRILLA DE PLAYA 48"", COOR SOLIDO, CON FILTRO ULTRAVIOLETA Y ROMPEVIENTOS.","48"" (122cm)",TODOS Y SOMBRILLAS,SOMBRILLAS DE PLAYA,,SUNRISE,3400,,,HYBU120R.PNG,180,150,,
EPS37,5200312100534,"TABLA SURF HS 37""","TABLA SURF DE HIELO SECO MEDIANA 37""","37""x17.5"" (94cm x 45cm)",TABLAS ,TABLAS HIELO SECO,,SUNRISE,250,,,EPS37.PNG,156,130,,
EPS41,5200312100565,"TABLA SURF HS 41""","TABLA SURF DE HIELO SECO MEDIANA 41""","42""x17.5"" (107cm x 45cm)",TABLAS ,TABLAS HIELO SECO,,SUNRISE,250,,,EPS41.PNG,168,140,,
XPE37,5200312100602,"TABLA SURF PLASTICO 37""","TABLA SURF DE PLASTICO 37""","37""x20.5"" (94cm x 52cm)",TABLAS ,TABLAS EVA FOAM,,SUNRISE,250,,,XPE120R.PNG,276,230,,
